"lon","lat","x","y","UE","UN"
-116.61,33.611,5.3618e+05,3.7191e+06,-17.4,21.12
-116.61,33.611,5.3618e+05,3.7191e+06,-17.46,22.28
-116.52,33.57,5.4455e+05,3.7146e+06,-17.25,22.98
-116.52,33.571,5.4455e+05,3.7147e+06,-17.68,21.93
-116.52,33.571,5.4455e+05,3.7147e+06,-17.17,21.89
-116.5,33.571,5.464e+05,3.7147e+06,-15.81,19.53
-116.49,33.574,5.4733e+05,3.715e+06,-12.96,16.98
-116.48,33.581,5.4826e+05,3.7158e+06,-15.88,19.02
-116.45,33.574,5.5104e+05,3.7151e+06,-15.74,18.06
-116.43,33.584,5.5289e+05,3.7162e+06,-14.79,19.1
-116.48,33.603,5.4824e+05,3.7183e+06,-15.53,20.23
-116.46,33.609,5.501e+05,3.7189e+06,-17.96,16.67
-116.46,33.609,5.501e+05,3.7189e+06,-15.35,17.92
-116.46,33.609,5.501e+05,3.7189e+06,-14.91,18.91
-116.46,33.612,5.5009e+05,3.7193e+06,-16.87,19.15
-116.46,33.612,5.5009e+05,3.7193e+06,-15.77,19.5
-116.46,33.612,5.5009e+05,3.7193e+06,-14.43,18.49
-116.46,33.612,5.5009e+05,3.7193e+06,-15.58,19.17
-116.46,33.612,5.5009e+05,3.7193e+06,-14.81,19.26
-116.46,33.62,5.5009e+05,3.7202e+06,-14.89,18.13
-116.44,33.599,5.5196e+05,3.7178e+06,-15.95,20.7
-116.42,33.609,5.5381e+05,3.719e+06,-15.64,21
-116.59,33.646,5.3802e+05,3.723e+06,-16.61,20.62
-116.56,33.649,5.408e+05,3.7233e+06,-15.75,19.49
-116.46,33.628,5.5008e+05,3.721e+06,-15.06,18.26
-116.41,33.623,5.5473e+05,3.7205e+06,-17.25,19.5
-116.47,33.684,5.4913e+05,3.7272e+06,-14.2,19.3
-116.39,33.688,5.5654e+05,3.7277e+06,-12.26,17.22
-116.27,33.639,5.677e+05,3.7224e+06,-11.88,15.54
-116.16,33.628,5.7791e+05,3.7212e+06,-11.29,12.89
-116.03,33.634,5.8996e+05,3.722e+06,-8.72,10.67
-115.83,33.429,6.0877e+05,3.6995e+06,-10.57,9.11
-115.82,33.431,6.0969e+05,3.6997e+06,-7.74,8.41
-115.82,33.431,6.0969e+05,3.6997e+06,-9.27,8.21
-115.77,33.427,6.1435e+05,3.6993e+06,-7.74,7.99
-115.78,33.441,6.134e+05,3.7008e+06,-9.65,8.33
-115.73,33.427,6.1807e+05,3.6993e+06,-6.09,9.25
-115.68,33.427,6.2272e+05,3.6994e+06,-6.12,3.14
-115.91,33.503,6.0124e+05,3.7076e+06,-11.46,7.55
-115.66,33.445,6.2455e+05,3.7014e+06,-4.61,3.22
-116.01,33.612,5.9184e+05,3.7196e+06,-8.17,7.31
-115.78,33.569,6.1323e+05,3.715e+06,-4.94,5.27
-115.86,33.64,6.0572e+05,3.7228e+06,-4.33,3.45
-115.96,33.677,5.9641e+05,3.7268e+06,-6.26,4.25
-115.72,33.664,6.1867e+05,3.7256e+06,-6.16,0.13
-115.72,33.664,6.1867e+05,3.7256e+06,-5.82,2.5
-115.72,33.664,6.1867e+05,3.7256e+06,-3.36,1.48
-115.34,33.561,6.5409e+05,3.7147e+06,-1.94,1.36
-118.05,33.71,4.027e+05,3.7305e+06,-26.71,31.15
-118.09,33.737,3.9903e+05,3.7335e+06,-25.4,30
-117.91,33.748,4.1571e+05,3.7346e+06,-26.16,29.53
-118.04,33.774,4.037e+05,3.7376e+06,-26.68,29.05
-117.94,33.793,4.1298e+05,3.7396e+06,-27,28.12
-117.79,33.824,4.2689e+05,3.7429e+06,-26.7,28.48
-117.7,33.729,4.3515e+05,3.7323e+06,-25.52,27.88
-117.54,33.709,4.4996e+05,3.73e+06,-25.24,28.16
-117.54,33.709,4.4996e+05,3.73e+06,-24.82,26.36
